timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-06-05T15:31:49,bluerevCope,fc5506a7-73ac-439a-adf1-71a92360ee15,3.494537591934204,1.6312144509979705e-06,4.6678978493835683e-07,14.0,0.0,5.882906913757324,1.3573820723427667e-05,0,5.644295076687437e-06,1.9218115800115107e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:31:49,bluerevCope,fc5506a7-73ac-439a-adf1-71a92360ee15,3.656287908554077,1.7052142749673043e-06,4.663785559605047e-07,14.0,0.0,5.882906913757324,1.4204789400100708e-05,0,5.885153636072005e-06,2.008994303617272e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:04,bluerevCope,d31da5f9-02c7-4449-8d72-244a7a6f3aad,2.8942980766296387,1.3524814287480785e-06,4.672916862533455e-07,14.0,0.0,5.882906913757324,1.1241517861684165e-05,0,4.69271120260828e-06,1.5934229064292443e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:05,bluerevCope,d31da5f9-02c7-4449-8d72-244a7a6f3aad,3.511873960494995,1.6388341815397788e-06,4.666551818131841e-07,14.0,0.0,5.882906913757324,1.3637156618965996e-05,0,5.670730862505024e-06,1.930788748147102e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:08,bluerevCope,5674834e-2137-4371-aa97-a34eabf99168,2.237813234329224,1.0459686703620103e-06,4.674065977965921e-07,14.0,0.0,5.882906913757324,8.698718415366278e-06,0,3.624337586259685e-06,1.2323056001625965e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:09,bluerevCope,5674834e-2137-4371-aa97-a34eabf99168,2.9539294242858887,1.3785613226780212e-06,4.666872916272493e-07,14.0,0.0,5.882906913757324,1.1479707558949788e-05,0,4.761781180055398e-06,1.6241488739005185e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:40,bluerevCope,03eae196-1347-4ae4-b764-f4e283dc982d,3.422824621200561,1.6018065301447162e-06,4.6797797357869883e-07,14.0,0.0,5.882906913757324,1.3307098812527128e-05,0,5.564548239685034e-06,1.887164705221216e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:41,bluerevCope,03eae196-1347-4ae4-b764-f4e283dc982d,4.275981187820435,1.998858727168708e-06,4.674620021393434e-07,14.0,0.0,5.882906913757324,1.6621219317118325e-05,0,6.92828912629769e-06,2.3549508443416016e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:46,bluerevCope,3052a81d-a02e-40d9-97bd-0abd4f53ab2a,2.650320291519165,1.2214509772494417e-06,4.608691942472e-07,14.0,0.0,5.882906913757324,1.0294163624445598e-05,0,4.096333168040663e-06,1.439049679248626e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:32:46,bluerevCope,3052a81d-a02e-40d9-97bd-0abd4f53ab2a,3.347975015640259,1.5370668080538717e-06,4.5910342845253473e-07,14.0,0.0,5.882906913757324,1.2935716443591648e-05,0,5.173201051358471e-06,1.810891749495012e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:33:08,bluerevCope,6b04dc3b-60e5-432d-9497-d908af8d04f0,2.605262756347656,1.2182648047880789e-06,4.676168658304455e-07,14.0,0.0,5.882906913757324,1.012768414285448e-05,0,4.225274831545297e-06,1.4352958974399777e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:33:09,bluerevCope,6b04dc3b-60e5-432d-9497-d908af8d04f0,3.695966720581055,1.7264889610628509e-06,4.671278427505494e-07,14.0,0.0,5.882906913757324,1.436404241455926e-05,0,5.976547849968484e-06,2.0340590264527745e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
